[2026-05-05 15:43:34.522] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:34.537] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:34.547] tag=0x0001  rs= 0  na= 1 | 1008 : 6651
[2026-05-05 15:43:34.559] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.572] tag=0x0001  rs= 0  na= 1 | 1008 : 6688
[2026-05-05 15:43:34.583] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
[2026-05-05 15:43:34.596] tag=0x0001  rs= 0  na= 1 | 1008 : 6698
[2026-05-05 15:43:34.608] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.621] tag=0x0001  rs= 0  na= 1 | 1008 : 6632
[2026-05-05 15:43:34.632] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:34.644] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.656] tag=0x0001  rs= 0  na= 1 | 1008 : 6623
[2026-05-05 15:43:34.669] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.682] tag=0x0001  rs= 0  na= 1 | 1008 : 6642
[2026-05-05 15:43:34.693] tag=0x0001  rs= 0  na= 1 | 1008 : 6660
[2026-05-05 15:43:34.705] tag=0x0001  rs= 0  na= 1 | 1008 : 6670
