[2026-05-05 15:38:16.788] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:16.800] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.813] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.825] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.837] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.849] tag=0x0001  rs= 0  na= 1 | 1005 : 6604
[2026-05-05 15:38:16.861] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:16.873] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:16.886] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.899] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.911] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.923] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.934] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.948] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:16.959] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:16.971] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:16.983] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:16.995] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.008] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.020] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.032] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.044] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.056] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.068] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.081] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.093] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.106] tag=0x0001  rs= 0  na= 1 | 1005 : 6520
[2026-05-05 15:38:17.118] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.129] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.142] tag=0x0001  rs= 0  na= 1 | 1005 : 6557
[2026-05-05 15:38:17.154] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.166] tag=0x0001  rs= 0  na= 1 | 1005 : 6529
[2026-05-05 15:38:17.178] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.190] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.203] tag=0x0001  rs= 0  na= 1 | 1005 : 6538
[2026-05-05 15:38:17.215] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.227] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.239] tag=0x0001  rs= 0  na= 1 | 1005 : 6576
[2026-05-05 15:38:17.251] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
[2026-05-05 15:38:17.263] tag=0x0001  rs= 0  na= 1 | 1005 : 6566
[2026-05-05 15:38:17.276] tag=0x0001  rs= 0  na= 1 | 1005 : 6548
[2026-05-05 15:38:17.288] tag=0x0001  rs= 0  na= 1 | 1005 : 6585
[2026-05-05 15:38:17.301] tag=0x0001  rs= 0  na= 1 | 1005 : 6595
